,movie_comment,movie_id,movie_score,movie_time,user_id
0,,1300211,4,2018-04-12,H1karu
1,我这种尴尬恐惧真的不适合看这种电影。,25944886,3,2018-04-07,H1karu
2,Hardcore nerds porn. ,4920389,5,2018-04-01,H1karu
3,看似是对过时侦探/动作电影的拙劣模仿，其实是有意为之的戏谑自嘲。段子多但不算新鲜，总的来说娱乐性还不错。,1438300,4,2018-03-29,H1karu
4,补标。,25905650,4,2018-03-26,H1karu
5,,26681664,,2018-03-26,H1karu
6,,20501042,3,2018-03-25,H1karu
7,住在迪斯尼边缘的边缘人物。女性角色都非常生猛鲜活,26778790,4,2018-03-25,H1karu
8,一部隐喻大过实际呈现的科幻，过于具象不够大气的艺术设计稍差。故事讲得很好，可以一看。,26384741,4,2018-03-22,H1karu
9,不知所云，对人物情绪捕捉和升华过于生硬了。我有两个小时干啥不好……,6815094,3,2018-03-18,H1karu
10,红脖家庭无下限，满足urban dictionary对redneck的大部分描述，乔治亚可谓民风剽悍名不虚传。看完之后觉得honey boo boo可能已经算是家里真小甜心了（,19965600,2,2018-03-15,H1karu
11,可以说真的很浅了,6390825,3,2018-03-11,H1karu
12,,26611804,4,2018-03-09,H1karu
13,欢乐与致郁。,26592971,4,2018-03-01,H1karu
14,,26665363,5,2018-02-25,H1karu
15,,26701638,4,2018-02-22,H1karu
16,"可能是我看过的脑洞最大的东西。每一集有一个主题，会有很多的artists来导演策划不同的段落。前一秒可能是迷幻飞行下一秒就可能是精神不适的画面。After this, you be like "" adult swim does accept everything """,26700720,5,2018-02-20,H1karu
17,,1301630,3,2018-02-14,H1karu
18,,26266745,3,2018-02-04,H1karu
19,,26752852,4,2018-01-27,H1karu
20,,1938966,3,2018-01-25,H1karu
21,吓到心颤，原谅我这种从不看恐怖片没见过世面的。,3604148,4,2018-01-21,H1karu
22,,1293346,3,2018-01-16,H1karu
23,For girls who came from the wrong side of track. 如果说Frances是自嘲取乐的都市小品，这部就是生猛详实的青春记录。Greta的心中除了那个笨拙真诚的异乡纽约客，可能还有个抗争一切的小城女孩。罗南表演里情绪的分寸拿捏抽离极其到位。我们这样的Town girls都野得像草，心比天高。,26588314,5,2018-01-12,H1karu
24,,26813221,4,2017-12-28,H1karu
25,真真假假。史派西绝赞的出演，联想近日新闻，真是可惜了。,1292214,4,2017-12-18,H1karu
26,"High fidelity music, low fidelity story. 库萨克是真适合丧气的文青角色。我感觉我也可以写一个排行榜了，最失败的五次约会云云，上一次是一个男生很认真地跟我说他不喜欢地下丝绒, it was truly a deal breaker. ",1299786,4,2017-12-05,H1karu
27,帮助真正undateable的人安排约会的节目，有蛮搞笑的比如拉着妈妈排练dating的无线电nerd，出门约会前喷了整整一瓶止汗喷雾。也有残疾人，看他们对爱情的追求也还挺暖心的。,20507017,4,2017-12-01,H1karu
28,小分队汇合得晚了点，加的新线埋了半天结果并没有梗也是心塞，不过最后三集还是很燃爆的，x-men + alien超长remix。最后close gate整个氛围和音乐都非常林正英系列。非常喜欢后三集的Steve了，和Dustin的对手戏都太可爱了。,26844438,4,2017-11-22,H1karu
29,K这样的存在既超现实又现实，在荒原里找寻存在的意义，坐在荧幕前的人又何尝不是，可惜我们的大多数都没有殊途同归的浪漫命运。,10512661,5,2017-10-31,H1karu
30,,26869684,4,2017-10-06,H1karu
31,,26580232,,2017-10-06,H1karu
32,天哪完全诚意之作！选角还挺精准，场景服装考究致敬87版。十岁左右的娃娃居然能把台词和神韵拿捏得这么好，这个系列都上哪儿去找这么多灵气小演员的啊。可以说是吊打众鲜肉小花了。,26951951,4,2017-10-02,H1karu
33,拿回本儿赚翻的本事来说是你爆，明年要还做的话，买个版权吧。从魔王挑战赛开始就是快进这看的。最私心喜爱的是我布瑞吉，最real的绿拖布。,27037043,3,2017-09-10,H1karu
34,这么一部商业片，光论娱乐性和视效真的值得四星，不足是后半程拖沓落入俗套。外星角色设定丰富有趣，好笑的片段挺多的。在大银幕看黎超模惊艳爆，相比之下你凡凡简直四个字强推之耻。总的来说还是值得一看的。,11502973,4,2017-08-27,H1karu
35,成就邦尼与克莱德的不只爱情，刀尖舔血，杀人越货，和绝望的不寿情深。最喜欢Buddy和Darleen。最后说一句，停产的Ipod我的白月光。,25933890,4,2017-08-27,H1karu
36,,3771562,4,2017-06-26,H1karu
37,作为一个只看过一部异形系列的普通观众来说，观感还是不错的。老法的演技可以说是神得独一份了，分饰两角，亦正亦邪一闪念都在眉眼之间。,11803087,4,2017-06-19,H1karu
38,,26588239,4,2017-06-15,H1karu
39,爱之深责之切。需要抱走第一部吸一遍，哭哭。这部这么cult而且梗又尴又无聊要干嘛啦！,25937854,3,2017-05-16,H1karu
40,,25818101,2,2017-05-03,H1karu
41,,25934014,4,2017-04-28,H1karu
42,最大的迷思是，Ed这么性格温和敏感的人居然爱上了bulldog。喜欢Chloe,25953429,4,2017-04-13,H1karu
43,,26304901,,2017-03-06,H1karu
44,,26648249,3,2017-02-25,H1karu
45,A woman embraced her brief shinning moment and buried it decently.,4849728,4,2017-02-01,H1karu
46,寒冷刺骨到极致的平铺直叙。过往是闪亮又琐碎的日子，生活带走潮湿温暖的呼吸，如同寒风冻结了墓园的土地。,25980443,4,2017-01-31,H1karu
47,,21324900,4,2017-01-24,H1karu
48,四颗星都给Bob，演技满分，猫持（？）镜头也好玩。,26685451,4,2017-01-24,H1karu
49,,26810226,4,2017-01-16,H1karu
50,,26340522,3,2017-01-13,H1karu
51,全场我只服踩着20+cm高跟还能卖力唱跳气场控全场的gaga，能力已经到了可以申报吴桥杂技学校高跷专业的业务水平。好了我宣布这个历年最差的秀里面我最喜欢的天使是gaga。,26928204,2,2017-01-12,H1karu
52,知道结果但是依旧Breathtaking，Hanks的表演拿捏精准细腻。一个无人伤亡的航空事故都能有如此严谨尽责的听证问责，对比伤亡惨重却集体噤声的某些天灾人祸，简直心生敬意。,26416603,5,2017-01-11,H1karu
53,空洞,26353372,3,2017-01-08,H1karu
